EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-6.352,14.525,1.785,-11.562,-2.313,2.913,-6.459,-0.573,-0.028,0.936,-0.370,0.671,3.418,-0.214,60.000,229048.000,1.000
-8.425,10.522,-2.924,-13.719,-5.699,-1.526,-9.997,-2.413,-0.027,0.938,-0.369,0.732,3.418,-0.183,60.000,229049.000,1.000
-2.585,-1.655,-4.357,-3.793,-0.626,0.445,-1.224,-0.621,-0.025,0.938,-0.369,0.793,3.235,-0.183,60.000,229050.000,1.000
4.838,-5.130,0.903,7.517,6.830,6.365,8.221,4.659,-0.026,0.938,-0.371,0.793,3.265,-0.031,60.000,229051.000,1.000
5.569,4.627,7.133,7.899,7.552,8.568,6.481,8.533,-0.025,0.938,-0.371,0.702,3.235,-0.092,60.000,229052.000,1.000
0.228,13.456,6.861,-0.159,1.703,4.451,-2.524,7.824,-0.026,0.938,-0.367,0.732,3.113,0.000,60.000,229053.000,1.000
-3.087,7.959,0.767,-3.363,-1.878,-0.317,-5.027,5.173,-0.025,0.938,-0.368,0.763,3.174,-0.122,60.000,229054.000,1.000
-0.172,-5.879,-3.257,3.866,1.985,0.283,3.273,5.324,-0.026,0.936,-0.371,0.793,3.113,-0.092,60.000,229055.000,1.000
3.830,-10.555,-0.540,12.024,7.913,4.673,11.407,8.797,-0.029,0.937,-0.370,0.916,3.052,-0.092,60.000,229056.000,1.000
2.295,-0.632,4.617,10.250,7.902,6.497,8.746,11.567,-0.026,0.937,-0.369,0.885,3.052,-0.122,60.000,229057.000,1.000
-2.923,10.395,5.511,1.865,2.847,3.959,0.192,10.995,-0.027,0.938,-0.367,0.854,3.113,-0.092,60.000,229058.000,1.000
-3.684,9.016,2.484,-0.079,1.416,2.405,-0.435,9.517,-0.028,0.938,-0.371,0.977,2.899,-0.092,60.000,229059.000,1.000
2.831,-0.099,1.955,8.716,7.601,6.374,10.079,10.820,-0.026,0.938,-0.373,0.793,2.899,-0.214,60.000,229060.000,1.000
9.366,-1.570,6.624,17.086,14.395,12.380,19.089,14.049,-0.027,0.938,-0.369,0.977,2.930,-0.153,60.000,229061.000,1.000
7.787,8.517,10.989,13.280,12.855,13.046,14.917,14.532,-0.026,0.937,-0.372,1.007,2.899,-0.061,60.000,229062.000,1.000
-0.188,16.703,8.596,1.066,4.247,7.147,2.727,10.155,-0.025,0.936,-0.374,1.160,2.808,-0.183,60.000,229063.000,1.000
-5.480,10.666,0.981,-5.278,-1.576,1.527,-2.529,4.423,-0.026,0.938,-0.373,1.160,2.808,-0.183,60.000,229064.000,1.000
-3.841,-3.438,-4.136,-0.289,0.573,2.020,3.574,1.930,-0.025,0.937,-0.374,1.129,2.777,-0.244,60.000,229065.000,1.000
-1.073,-8.984,-3.102,5.566,4.482,5.715,9.314,2.361,-0.026,0.938,-0.369,1.129,2.716,-0.214,60.000,229066.000,1.000
-4.284,-1.391,-0.922,0.719,1.536,5.181,3.528,1.251,-0.026,0.935,-0.372,1.160,2.655,-0.244,60.000,229067.000,1.000
-11.376,6.077,-3.764,-11.156,-6.933,-1.023,-8.471,-3.437,-0.026,0.937,-0.372,1.099,2.655,-0.214,60.000,229068.000,1.000
-13.433,1.269,-9.832,-15.885,-11.062,-6.041,-11.877,-7.971,-0.025,0.938,-0.373,1.190,2.594,-0.183,60.000,229069.000,1.000
-6.954,-9.556,-11.454,-8.200,-5.858,-3.908,-2.780,-7.610,-0.025,0.940,-0.371,1.282,2.533,-0.244,60.000,229070.000,1.000
0.962,-10.266,-5.691,0.942,1.868,2.318,6.210,-3.087,-0.026,0.939,-0.373,1.282,2.625,-0.275,60.000,229071.000,1.000
1.836,2.543,1.247,-0.716,2.654,4.656,3.033,0.118,-0.024,0.938,-0.372,1.190,2.594,-0.305,60.000,229072.000,1.000
-3.119,14.271,1.990,-10.109,-2.903,0.913,-7.486,-1.119,-0.025,0.935,-0.372,1.282,2.594,-0.244,60.000,229073.000,1.000
-5.271,11.763,-2.486,-13.445,-5.428,-2.742,-10.567,-3.778,-0.024,0.937,-0.373,1.282,2.625,-0.244,60.000,229074.000,1.000
-0.798,0.903,-4.687,-5.492,-0.069,-0.639,-1.982,-3.252,-0.026,0.938,-0.371,1.312,2.502,-0.366,60.000,229075.000,1.000
4.165,-1.715,-0.983,3.273,6.752,4.571,6.266,0.253,-0.026,0.940,-0.368,1.404,2.533,-0.519,60.000,229076.000,1.000
